,,,,,,,,,,,,,,,
Student_ID,Name,Class,Subject,Marks,Total_Marks,Percentage,PASS /FAIL,Grade,performance,,,,,,
1,Ravi Kumar,10,Math,78,100,78%,PASS,B,Very Good,,,,,,
2,Priya Sharma,10,Science,88,100,88%,PASS,B,Very Good,,,,,,
3,Aman Verma,10,English,65,100,65%,PASS,C,Good,,,,,,
4,Neha Singh,10,Math,92,100,92%,PASS,B,Very Good,,,,,,
5,Arjun Patel,10,Science,45,100,45%,FAIL,D,Poor,,,,,,
6,Meena Joshi,10,English,81,100,81%,PASS,B,Very Good,,,,,,
7,Rohit Yadav,10,Social,74,100,74%,PASS,B,Very Good,,,,,,
8,Kavita Rao,10,Math,89,100,89%,PASS,B,Very Good,,,,,,
9,Suresh Gupta,10,Science,62,100,62%,PASS,C,Good,,,,,,
10,Anjali Mehta,10,English,95,100,95%,PASS,A,Excellent,,,Score in Math,Score in Science,Score in English,Score in Social
11,Deepak Nair,10,Social,77,100,77%,PASS,B,Very Good,,,1122,908,1019,741
12,Sneha Kapoor,10,Math,84,100,84%,PASS,B,Very Good,,,,,,
13,Vivek Rathi,10,Science,91,100,91%,PASS,B,Very Good,,percentage,86.31%,69.85%,78.38%,67.36%
14,Pooja Mishra,10,English,68,100,68%,PASS,C,Good,,,,,,
15,Sanjay Chauhan,10,Social,73,100,73%,PASS,B,Very Good,,,,,,
16,Divya Bansal,10,Math,87,100,87%,PASS,B,Very Good,,,,,,
17,Karan Malhotra,10,Science,59,100,59%,PASS,C,Good,,,,,,
18,Ritu Desai,10,English,82,100,82%,PASS,B,Very Good,,,,,,
19,Mohit Saxena,10,Social,64,100,64%,PASS,C,Good,,,,,,
20,Shalini Tiwari,10,Math,93,100,93%,PASS,B,Very Good,,,,,,
21,Ajay Rawat,10,Science,34,100,34%,FAIL,D,Poor,,,,,,
22,Nisha Bhatt,10,English,85,100,85%,PASS,B,Very Good,,,,,,
23,Harish Menon,10,Social,58,100,58%,PASS,C,Good,,,,,,
24,Jyoti Kulkarni,10,Math,79,100,79%,PASS,B,Very Good,,,,,,
25,Rajesh Pandey,10,Science,94,100,94%,PASS,B,Very Good,,,,,,
26,Sunita Reddy,10,English,67,100,67%,PASS,C,Good,,,,,,
27,Manish Agarwal,10,Social,72,100,72%,PASS,B,Very Good,,,,,,
28,Rekha Iyer,10,Math,88,100,88%,PASS,B,Very Good,,,,,,
29,Ashok Chatterjee,10,Science,61,100,61%,PASS,C,Good,,,,,,
30,Seema Ghosh,10,English,96,100,96%,PASS,A,Excellent,,,,,,
31,Tarun Dutta,10,Social,75,100,75%,PASS,B,Very Good,,,,,,
32,Alka Prasad,10,Math,83,100,83%,PASS,B,Very Good,,,,,,
33,Varun Khanna,10,Science,90,100,90%,PASS,B,Very Good,,,,,,
34,Radhika Sen,10,English,66,100,66%,PASS,C,Good,,,,,,
35,Gaurav Jain,10,Social,71,100,71%,PASS,B,Very Good,,,,,,
36,Anita Paul,10,Math,86,100,86%,PASS,B,Very Good,,,,,,
37,Lokesh Tripathi,10,Science,57,100,57%,PASS,C,Good,,,,,,
38,Pallavi Sinha,10,English,80,100,80%,PASS,B,Very Good,,,,,,
39,Dinesh Kaur,10,Social,63,100,63%,PASS,C,Good,,,,,,
40,Shruti Anand,10,Math,91,100,91%,PASS,B,Very Good,,,,,,
41,Yogesh Bhatia,10,Science,76,100,76%,PASS,B,Very Good,,,,,,
42,Mala George,10,English,87,100,87%,PASS,B,Very Good,,,,,,
43,Parth Kulkarni,10,Social,60,100,60%,PASS,C,Good,,,,,,
44,Snehal Patil,10,Math,82,100,82%,PASS,B,Very Good,,,,,,
45,Vikram Joshi,10,Science,95,100,95%,PASS,A,Excellent,,,,,,
46,Aarti Saxena,10,English,69,100,69%,PASS,C,Good,,,,,,
47,Nitin Sharma,10,Social,54,100,54%,FAIL,D,Poor,,,,,,
48,Bhavna Kapoor,10,Math,90,100,90%,PASS,B,Very Good,,,,,,
49,Ramesh Pillai,10,Science,56,100,56%,PASS,C,Good,,,,,,
50,Geeta Chauhan,10,English,78,100,78%,PASS,B,Very Good,,,,,,
Total,,,,,5000,,,,50,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
